absorption_decides_associativity_of_a_clamped_reduction	absorption_and_associativity_agree_for_clamped_addition
a_law_stated_as_an_author_written_marker_is_checked_by_nothing	a_declared_law_marker_compiles_clean_when_false
the_const_eval_frontier_collapses_along_arity_and_buys_three_bits_from_the_guard	the_const_eval_frontier_by_arity
the_licensed_category_is_const_available_and_four_constructions_bind_at_four_times	the_four_const_available_constructions_bind_at_four_times
a_compile_time_strategy_selection_leaves_no_residue_in_the_emitted_body	a_compile_time_strategy_selection_leaves_no_residue
chain_accuracy_cannot_be_served_by_an_operator_closed_over_its_operand_type	chain_accuracy_needs_an_intermediate_wider_than_the_operand_type
no_total_join_exists_over_the_observable_axes_so_the_operation_reports	no_conservatism_order_exists_on_the_overflow_axis
headroom_and_intermediate_precision_are_unobservable_inside_a_pure_ring_region	three_of_the_four_proposed_axes_change_no_answer
the_rationalisability_counts_on_the_committed_carrier_table	the_rationalisable_sections_on_the_committed_carrier_table
generation_relocates_the_check_rather_than_removing_it	generating_a_winner_table_from_a_stated_weighting
the_corpus_cannot_exhibit_the_accuracy_intents_because_a_coordinate_is_absent	the_argmin_mechanism_has_never_run_on_arms_that_disagree
a_coordinate_set_is_a_countable_ceiling_on_how_many_strategies_can_exist	the_cost_coordinate_census_and_its_calibration_control
the_four_consolidations_contradict_each_other_nowhere	NONE
most_committed_bench_regions_predate_the_harness_cross_variant_validation	most_committed_bench_regions_predate_the_validation_gate
a_coherent_reduction_needs_no_accumulator	the_accumulator_width_is_the_exact_sum_width_less_one_bit
an_incoherent_clamped_addition_needs_the_exact_sum_width_less_one_bit	the_accumulator_width_is_the_exact_sum_width_less_one_bit
the_multiplicative_guard_grows_linearly_and_the_saving_is_adaptation_fusion	the_multiplicative_rescale_saving_is_adaptation_fusion
a_nonzero_phase_leaves_the_representable_set_without_an_additive_identity	a_half_step_biased_grid_is_not_closed_under_addition
a_trajectory_condition_lifts_into_a_declaration_exactly_when_it_survives_closure	a_trajectory_condition_lifts_exactly_when_it_survives_closure
an_exposure_test_over_reduction_verdicts_alone_is_satisfied_by_a_system_that_computes_nothing	the_collapsed_declaration_cannot_be_made_to_fail
where_fusion_changes_the_answer_it_is_not_a_lowering	fusion_is_an_axis_position_rather_than_a_new_axis
