Q4       what_a_datum_stands_for
Q6       does_warm_wrap_or_clamp
Q15      are_the_axes_independently_resolvable
-        does_the_canon_carry_a_numeric_threshold
-        is_the_derived_numeral_required_to_be_tightest
-        is_the_cross_kind_join_closed_or_priced
-        should_phase_collide_across_two_vocabularies
Q22      are_set_valued_carriers_admitted
Q23      is_the_role_set_closed
Q26      what_a_platform_width_type_is
Q28      arbitrary_width_demands_in_the_canon
Q34      two_shapes_of_aggregate_composition
Q36      whose_reduction_governs_a_lossy_crossing
Q44      must_a_weighting_be_strictly_positive
Q45      arms_no_weighting_can_select
Q54      are_consumer_terms_trees_or_dags
