chain_resolution_degeneracy	sound	required
chain_every_placement_widened	sound	required
chain_affine_collapse_under_both_profiles	sound	required
chain_which_projection_blocks_the_vectoriser	sound	required
chain_two_realisations_definedness_is_profile_dependent	sound	required
chain_const_channel_follows_debug_assertions	sound	required
chain_the_third_definition_is_not_observation_bounded	uncontrolled	admission
chain_heading_overlap_against_a_null	sound	required
citation_checker_normalising_whitespace	defective	required
citation_checker_stripping_markup	sound	required
the_heading_anchor_slug_rule	sound	required
a_measured_proposal_is_refused_without_a_probe_row	sound	required
the_registrys_citation_guards_fire	sound	required
probe_lives_citation_controls	sound	required
rounding_is_vacuous_at_zero_fraction_width	sound	required
rounding_commutes_with_the_overflow_policies	sound	required
the_two_toward_zero_spellings_differ_and_by_how_much	sound	required
staged_narrowing_depends_on_its_staging	sound	BUCKET
a_domain_widening_with_a_control_that_can_fire	sound	BUCKET
the_predicate_sweep_for_inherited_dimensions	sound	required
no_dependent_survives_the_rounding_units_defects	uncontrolled	admission
packing_is_a_weighting_not_a_policy	sound	required
the_container_is_not_observable_at_the_column	sound	required
fusion_under_unsigned_over_six_rounding_modes	sound	required
equivariance_is_domain_restricted	sound	required
the_false_unsigned_fusion_clause_and_its_repair	sound	required
the_convergence_intersections_are_empty_by_value	sound	required
a_free_adaptation_point_gives_a_boundary_function_family	sound	required
the_licence_family_biconditional_fails_in_one_direction	sound	required
the_bench_tree_was_built_at_the_undocumented_profile	uncontrolled	admission
no_bench_artifact_records_its_build_profile	sound	required
the_debug_release_gap_that_retired_a_true_finding	uncontrolled	admission
six_ways_this_corpus_produces_a_meaningless_green	sound	required
translation_equivariance_is_the_fusion_mechanism	sound	required
the_width_invariance_control_was_toothless	defective	BUCKET
a_partial_interior_operation_distinguishes_at_every_profile	sound	required
an_equivalence_checker_that_skips_panics_certifies_a_definedness_difference	uncontrolled	admission
operation_erasure_holds_at_every_optimisation_level	sound	BUCKET
the_axis_census_over_the_governing_files	sound	required
the_ranking_of_what_a_missing_axis_blocks	sound	required
the_inventory_of_clauses_that_could_not_be_written	sound	required
the_droplist_entries_are_verbatim	sound	required
the_pareto_arm_that_rests_on_one_size_point	withdrawn	required
the_tail_coordinate_is_the_wrong_statistic	sound	required
a_mutant_the_encoding_must_reject	sound	required
double_rounding_disagreement_has_a_closed_form	sound	required
every_placement_rebuilt_in_the_other_language	sound	required
translation_equivariance_partitions_the_rounding_axis	sound	required
absorption_and_associativity_agree_for_clamped_addition	sound	BUCKET
the_accumulator_width_is_the_exact_sum_width_less_one_bit	sound	required
which_factor_of_a_reduction_breaks_the_semiring	sound	required
a_half_step_biased_grid_is_not_closed_under_addition	sound	BUCKET
a_declared_law_marker_compiles_clean_when_false	sound	required
a_trajectory_condition_lifts_exactly_when_it_survives_closure	sound	required
the_collapsed_declaration_cannot_be_made_to_fail	sound	BUCKET
the_rationalisable_sections_on_the_committed_carrier_table	sound	BUCKET
one_congruence_property_predicts_every_law_verdict	sound	BUCKET
no_conservatism_order_exists_on_the_overflow_axis	sound	BUCKET
the_demand_closure_is_generated_rather_than_enumerated	sound	required
most_committed_bench_regions_predate_the_validation_gate	sound	required
a_compile_time_strategy_selection_leaves_no_residue	uncontrolled	admission
the_axes_are_not_independently_resolvable	sound	required
the_design_closed_forms_are_not_the_tightest_numeral	sound	required
closing_the_family_under_intersection_is_priced_and_does_not_reach_tapered_formats	sound	required
a_single_richer_output_suffices_only_as_a_type	sound	required
narrowing_composes_where_the_modes_direction_switches_at_coarser_grid_points	sound	required
three_of_the_four_proposed_axes_change_no_answer	sound	required
the_const_eval_frontier_by_arity	sound	BUCKET
generating_a_winner_table_from_a_stated_weighting	sound	BUCKET
fusion_is_an_axis_position_rather_than_a_new_axis	sound	required
chain_accuracy_needs_an_intermediate_wider_than_the_operand_type	uncontrolled	admission
the_four_const_available_constructions_bind_at_four_times	uncontrolled	admission
the_cost_coordinate_census_and_its_calibration_control	sound	BUCKET
the_argmin_mechanism_has_never_run_on_arms_that_disagree	uncontrolled	admission
the_multiplicative_rescale_saving_is_adaptation_fusion	sound	required
a_coherent_reduction_diverges_nowhere_at_any_fold_length	sound	required
the_rationalisability_counts_reproduced_and_rungged	sound	required
how_many_strategies_a_coordinate_set_can_distinguish	sound	required
the_committed_corpus_does_contain_answer_differing_arms	sound	required
